STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Pays,SKILL,Compétences,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,04,,0.284,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,05,,0.023,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,06,,0.244,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,07,,0.099,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,08,,0.632,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,09,,0.008,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,10,,0.023,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,11,,0.003,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,12,,0.399,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,13,,0.179,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DNK,Danemark,14,,0.524,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,01,,0.054,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,02,,-0.267,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,03,,-0.535,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,04,,0.154,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,05,,-0.119,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,06,,0.347,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,07,,0.087,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,08,,0.432,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,09,,-0.451,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,10,,-0.209,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,11,,-0.257,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,12,,0.487,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,13,,-0.079,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FIN,Finlande,14,,0.173,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,01,,-0.131,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,02,,-0.265,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,03,,-0.412,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,04,,-0.008,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,05,,-0.255,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,06,,-0.15,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,07,,-0.158,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,08,,0.353,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,09,,-0.432,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,10,,-0.143,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,11,,-0.347,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,12,,0.151,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,13,,-0.413,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,FRA,France,14,,0.341,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,01,,0.111,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,02,,-0.004,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,03,,-0.018,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,04,,0.095,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,05,,0.057,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,06,,0.171,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,07,,0.11,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,08,,-0.031,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,09,,-0.179,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,10,,0.002,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,11,,-0.019,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,12,,0.119,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,13,,0.076,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,DEU,Allemagne,14,,0.241,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,01,,-0.284,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,03,,-0.477,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,04,,0.036,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,05,,-0.265,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,06,,-0.064,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,07,,0.038,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,08,,0.143,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,09,,-0.29,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,10,,-0.515,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,11,,-0.326,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,12,,-0.104,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,13,,-0.209,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,14,,0.21,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,01,,0.06,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,02,,-0.447,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,03,,-0.306,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,04,,-0.122,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,05,,-0.202,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,06,,0.271,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,07,,0.026,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,08,,-0.096,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,GRC,Grèce,02,,-0.465,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,09,,-0.479,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,10,,-0.138,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,11,,-0.242,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,12,,0.229,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,13,,-0.105,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,HUN,Hongrie,14,,-0.221,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,01,,-0.035,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,02,,-0.206,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,03,,-0.239,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,04,,0.095,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,05,,-0.082,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,06,,0.111,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,07,,0.137,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,08,,0.024,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,09,,-0.381,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,10,,-0.042,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,11,,0.025,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,12,,0.089,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,13,,0.159,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ISL,Islande,14,,-0.14,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,01,,-0.063,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,02,,-0.194,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,03,,-0.695,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,04,,0.056,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,05,,-0.179,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,06,,0.054,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,07,,0.075,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,08,,0.467,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,09,,-0.309,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,10,,-0.001,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,11,,-0.439,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,12,,0.224,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,13,,-0.159,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,IRL,Irlande,14,,0.449,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,01,,-0.123,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,02,,-0.572,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,03,,-0.779,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,04,,0.153,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,05,,-0.554,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,06,,-0.001,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,07,,-0.315,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,08,,-0.322,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,09,,-0.357,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,10,,-0.337,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,11,,-0.759,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,12,,-0.03,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,13,,-0.458,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,ITA,Italie,14,,0.659,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,01,,-0.255,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,02,,-0.265,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,03,,-0.686,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,04,,-0.032,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,05,,-0.22,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,06,,-0.055,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,07,,-0.103,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,08,,0.241,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,09,,-0.015,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,10,,0.092,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,11,,-0.382,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,12,,0.372,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,13,,-0.395,,A,,,,,,,
DATAFLOW,OECD:DF_S4J2022(1.0),Besoins de compétences par pays,I,KOR,Corée,14,,0.292,,A,,,,,,,
