STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,TRANSFORMATION,Transformation,ADJUSTMENT,Ajustement,SEX,Sexe,AGE,Âge,ACTIVITY,Activité économique,FREQ,Fréquence d'observation,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,BASE_PER,Période de base,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2020,,38.1,,,,B,Time series break,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2019,,35.725,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2018,,32.475,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2017,,36.25,,,,B,Time series break,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2016,,44.7,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2015,,58.875,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2014,,67.625,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2013,,83.525,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2023,,39.125,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,HUN,Hongrie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2022,,30.45,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2017,,731.5,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2016,,827.5,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2015,,909.5,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2014,,1031.5,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2013,,1261.75,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2023,,685.25,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2022,,645.75,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2021,,771.75,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2020,,749,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,GBR,Royaume-Uni,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2019,,632,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2020,,171.1138,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2019,,163.9433,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2018,,166.0903,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2017,,166.908,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2016,,150.0592,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2015,,154.8902,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2014,,171.7135,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2013,,168.6803,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2023,,164.9985,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,CHL,Chili,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2022,,136.0395,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2020,,62.875,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2019,,53.125,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2018,,56.375,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2017,,59.775,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2016,,63.75,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2015,,64.2,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2014,,64.6,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2013,,66.5,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2023,,49.725,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,NZL,Nouvelle-Zélande,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y25T54,De 25 à 54 ans,_Z,Non applicable,A,Annuelle,2022,,44.3,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,MEX,Mexique,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2021,,756.8123,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,MEX,Mexique,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2019,,702.719,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,MEX,Mexique,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2018,,648.5935,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,MEX,Mexique,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2017,,646.1245,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,MEX,Mexique,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2016,,734.8693,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,MEX,Mexique,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2015,,828.7753,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,MEX,Mexique,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2014,,923.095,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,MEX,Mexique,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2013,,945.8463,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,MEX,Mexique,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y15T24,De 15 à 24 ans,_Z,Non applicable,A,Annuelle,2023,,577.2203,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2020,,6.25,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2019,,7,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2018,,7,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2017,,9,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2016,,7.75,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2015,,9,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2014,,8.5,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2013,,7.25,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2023,,6.1,,,,U,Low reliability,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_Q(1.0),Population au chômage,I,SVN,Slovénie,UNE,Chômage,PS,Personnes,_Z,N'est pas applicable,Y,Corrigé des variations saisonnières et des effets de calendrier,_T,Total,Y55T64,De 55 à 64 ans,_Z,Non applicable,A,Annuelle,2022,,6.275,,,,U,Low reliability,3,Thousands,0,Zero
